Date,Close
6/29/2015,68.95
6/30/2015,67.5
7/1/2015,68.55
7/2/2015,69
7/3/2015,68.6
7/6/2015,68.8
7/7/2015,68.6
7/8/2015,69.15
7/9/2015,70.05
7/10/2015,70.8
7/13/2015,71.2
7/14/2015,71.8
7/15/2015,71.6
7/16/2015,72.6
7/17/2015,73
7/20/2015,73.2
7/21/2015,72.85
7/22/2015,72.35
7/23/2015,72.6
7/24/2015,72.05
7/27/2015,71.3
7/28/2015,71.9
7/29/2015,72.9
7/30/2015,72.9
7/31/2015,73.2
8/3/2015,73.55
8/4/2015,73.75
8/5/2015,73.85
8/6/2015,73.5
8/7/2015,73.3
8/10/2015,73.75
8/11/2015,73.35
8/12/2015,72.2
8/13/2015,74.15
8/14/2015,74.95
8/17/2015,75
8/18/2015,74.95
8/19/2015,74.4
8/20/2015,73.45
8/21/2015,71.1
8/24/2015,68.4
8/25/2015,70.5
8/26/2015,69.4
8/27/2015,71
8/28/2015,70.9
8/31/2015,71.3
9/1/2015,70.1
9/2/2015,70.3
9/3/2015,71.1
9/4/2015,70.55
9/7/2015,71.15
9/8/2015,71.25
9/9/2015,72.45
9/10/2015,72.05
9/11/2015,71.8
9/14/2015,71.55
9/15/2015,72.9
9/16/2015,73.4
9/17/2015,74
9/18/2015,73.45
9/21/2015,74
9/22/2015,71.95
9/23/2015,71.7
9/24/2015,70.4
9/25/2015,72.4
9/28/2015,71.9
9/29/2015,71.2
9/30/2015,73.25
10/1/2015,73.25
10/2/2015,73.35
10/5/2015,74.7
10/6/2015,74.8
10/7/2015,73.9
10/8/2015,74.3
10/9/2015,74.3
10/12/2015,74.85
10/13/2015,75
10/14/2015,74.35
10/15/2015,75.15
10/16/2015,73.75
10/19/2015,73.5
10/20/2015,73.45
10/21/2015,73.25
10/22/2015,74.8
10/23/2015,75.5
10/26/2015,75.25
10/27/2015,75.2
10/28/2015,75.75
10/29/2015,76
10/30/2015,75.6
11/2/2015,75.05
11/3/2015,75.35
11/4/2015,75.8
11/5/2015,76.2
11/6/2015,75.45
11/9/2015,74.8
11/10/2015,74.65
11/11/2015,74.9
11/12/2015,74.6
11/13/2015,73.5
11/16/2015,73.6
11/17/2015,75.15
11/18/2015,75.8
11/19/2015,76.1
11/20/2015,76.05
11/23/2015,75.75
11/24/2015,74.8
11/25/2015,75.7
11/26/2015,76
11/27/2015,76.4
11/30/2015,76.35
12/1/2015,76.3
12/2/2015,76.75
12/3/2015,75.7
12/4/2015,75.2
12/7/2015,75.35
12/8/2015,74.5
12/9/2015,73.7
12/10/2015,73.75
12/11/2015,72.5
12/14/2015,71.55
12/15/2015,73.1
12/16/2015,73.2
12/17/2015,73.55
12/18/2015,73.05
12/21/2015,72.3
12/22/2015,71.45
12/23/2015,73.35
12/28/2015,73.6
12/29/2015,75.15
12/30/2015,74.55
1/4/2016,73.55
1/5/2016,73.8
1/6/2016,73.05
1/7/2016,71.35
1/8/2016,70.3
1/11/2016,70.25
1/12/2016,71.8
1/13/2016,72.6
1/14/2016,71.3
1/15/2016,70.1
1/18/2016,70.05
1/19/2016,71.25
1/20/2016,69.6
1/21/2016,70.55
1/22/2016,72.1
1/25/2016,72.4
1/26/2016,73.25
1/27/2016,73.9
1/28/2016,73.2
1/29/2016,75.2
2/1/2016,75.6
2/2/2016,75.5
2/3/2016,75.2
2/4/2016,74.4
2/5/2016,73.35
2/8/2016,72.85
2/9/2016,71.7
2/10/2016,72.85
2/11/2016,70.85
2/12/2016,71.9
2/15/2016,73.6
2/16/2016,73.05
2/17/2016,74.1
2/18/2016,71.35
2/19/2016,70.85
2/22/2016,71.15
2/23/2016,70.2
2/24/2016,69.4
2/25/2016,70.25
2/26/2016,70.45
2/29/2016,70.1
3/1/2016,71.55
3/2/2016,71.4
3/3/2016,70.8
3/4/2016,71.5
3/7/2016,71.55
3/8/2016,71.25
3/9/2016,71.5
3/10/2016,71
3/11/2016,71.55
3/14/2016,71.6
3/15/2016,71.4
3/16/2016,71.8
3/17/2016,71.5
3/18/2016,71.45
3/21/2016,71.45
3/22/2016,70.65
3/23/2016,71.6
3/24/2016,70.65
3/29/2016,71.85
3/30/2016,72.25
3/31/2016,71.85
4/1/2016,71.1
4/4/2016,71.15
4/5/2016,71.05
4/6/2016,71.9
4/7/2016,71.95
4/8/2016,72.55
4/11/2016,70.05
4/12/2016,70.15
4/13/2016,71.2
4/14/2016,72.6
4/15/2016,72.7
4/18/2016,72.6
4/19/2016,73.95
4/20/2016,73.85
4/21/2016,73.35
4/22/2016,72.35
4/25/2016,72.4
4/26/2016,72.4
4/27/2016,72.55
4/28/2016,72.5
4/29/2016,71.5
5/2/2016,71.8
5/3/2016,71.15
5/4/2016,70.5
5/6/2016,71
5/9/2016,71.45
5/10/2016,72.3
5/11/2016,72.75
5/12/2016,72.6
5/13/2016,73
5/17/2016,72.75
5/18/2016,72.9
5/19/2016,72.25
5/20/2016,72.8
5/23/2016,73
5/24/2016,73.6
5/25/2016,73.4
5/26/2016,74.25
5/27/2016,74.25
5/30/2016,74.15
5/31/2016,73.4
6/1/2016,73.4
6/2/2016,73.45
6/3/2016,73.35
6/6/2016,73.5
6/7/2016,73.95
6/8/2016,73.4
6/9/2016,73
6/10/2016,72.1
6/13/2016,70.95
6/14/2016,70
6/15/2016,70.1
6/16/2016,69.8
6/17/2016,69.75
6/20/2016,71.15
6/21/2016,71.85
6/22/2016,71.7
6/23/2016,72.35
6/24/2016,71.5
6/27/2016,71.1
6/28/2016,73.45
6/29/2016,74.75
6/30/2016,75.15
7/1/2016,76.05
7/4/2016,76.1
7/5/2016,75.6
7/6/2016,75.75
7/7/2016,76.6
7/8/2016,77.3
7/11/2016,78
7/12/2016,78
7/13/2016,77.85
7/14/2016,78.05
7/15/2016,77.85
7/18/2016,78.1
7/19/2016,77.75
7/20/2016,78.1
7/21/2016,77.9
7/22/2016,78.15
7/25/2016,78.15
7/26/2016,78.5
7/27/2016,78
7/28/2016,77.2
7/29/2016,77.7
8/2/2016,77.05
8/3/2016,76.7
8/4/2016,77.55
8/5/2016,78.1
8/8/2016,77.5
8/9/2016,77.95
8/10/2016,77.65
8/11/2016,79.5
8/12/2016,79.8
8/15/2016,79.85
8/16/2016,78.95
8/17/2016,78.35
8/18/2016,79.5
8/19/2016,78.9
8/22/2016,78.1
8/23/2016,77.95
8/24/2016,77.8
8/25/2016,77.6
8/26/2016,77.85
8/29/2016,78
8/30/2016,78.35
8/31/2016,78.3
9/1/2016,77.75
9/2/2016,79.05
9/5/2016,79.1
9/6/2016,79.2
9/7/2016,79.2
9/8/2016,78.55
9/9/2016,78.3
9/12/2016,77.75
9/13/2016,77.2
9/14/2016,77.5
9/15/2016,77.45
9/16/2016,76.75
9/19/2016,77.1
9/20/2016,77.65
9/21/2016,77.4
9/22/2016,78.1
9/23/2016,76.8
9/26/2016,76.1
9/27/2016,76.95
9/28/2016,77.05
9/29/2016,77.1
9/30/2016,76.55
10/3/2016,76.8
10/4/2016,77.15
10/5/2016,76.15
10/6/2016,76.15
10/7/2016,75.25
10/10/2016,75.7
10/11/2016,75.35
10/12/2016,74.8
10/13/2016,74.4
10/14/2016,75.3
10/17/2016,74.5
10/18/2016,74.9
10/19/2016,74.65
10/20/2016,74.05
10/21/2016,73.15
10/24/2016,72.4
10/25/2016,72.1
10/26/2016,72.25
10/27/2016,73.2
10/28/2016,72.8
10/31/2016,71.75
11/1/2016,71.55
11/2/2016,71.45
11/3/2016,70.75
11/4/2016,70.75
11/7/2016,71.15
11/8/2016,71.2
11/9/2016,70.45
11/10/2016,68.9
11/11/2016,68.6
11/14/2016,67.9
11/15/2016,68.65
11/16/2016,69.05
11/17/2016,69.05
11/18/2016,68.45
11/21/2016,68.15
11/22/2016,67.4
11/23/2016,67.45
11/24/2016,67.75
11/25/2016,69
11/28/2016,68.55
11/29/2016,68.3
11/30/2016,68.4
12/1/2016,67.3
12/2/2016,68
12/5/2016,68
12/6/2016,68.4
12/7/2016,68.15
12/8/2016,68.7
12/9/2016,71
12/12/2016,70.8
12/13/2016,72.15
12/14/2016,72.35
12/15/2016,72.45
12/16/2016,72.2
12/19/2016,72.95
12/20/2016,72.85
12/21/2016,72.95
12/22/2016,73.15
12/23/2016,73.1
12/27/2016,73.25
12/28/2016,73.05
12/29/2016,73.05
12/30/2016,73.05
1/3/2017,72.7
1/4/2017,73.3
1/5/2017,74.1
1/6/2017,74.6
1/9/2017,74.7
1/10/2017,74.3
1/11/2017,74.3
1/12/2017,74.45
1/13/2017,74.5
1/16/2017,74.05
1/17/2017,73.35
1/18/2017,73.75
1/19/2017,73.2
1/20/2017,73.35
1/23/2017,73.1
1/24/2017,73.35
1/25/2017,73.8
1/26/2017,72.8
1/27/2017,73.15
1/30/2017,72.4
1/31/2017,72.3
2/1/2017,72.15
2/2/2017,72
2/3/2017,72.85
2/6/2017,72.65
2/7/2017,72.85
2/8/2017,74.1
2/9/2017,73.95
2/10/2017,73.95
2/13/2017,73.65
2/14/2017,73
2/15/2017,73.15
2/16/2017,72.45
2/17/2017,73.85
2/20/2017,73.25
2/21/2017,73.4
2/22/2017,74.3
2/23/2017,74.8
2/24/2017,74.5
2/27/2017,74.3
2/28/2017,74.25
3/1/2017,74.7
3/2/2017,74.6
3/3/2017,74.65
3/6/2017,75.2
3/7/2017,75.45
3/8/2017,75
3/9/2017,75.25
3/10/2017,75.45
3/13/2017,75.9
3/14/2017,76.05
3/15/2017,76.6
3/16/2017,76.9
